Bibliothèques;Version
gvlma;1.0.0.3
psych;2.2.5
Routliers;0.0.0.3
predictmeans;1.0.8
nlme;3.1-157
lubridate;1.9.2
forcats;1.0.0
stringr;1.5.0
dplyr;1.0.10
purrr;1.0.1
readr;2.1.4
tidyr;1.3.0
tibble;3.1.8
tidyverse;2.0.0
sjPlot;2.8.13
performance;0.10.2
emmeans;1.8.5
multcomp;1.4-23
TH.data;1.1-1
MASS;7.3-57
mvtnorm;1.1-3
rms;6.5-0
SparseM;1.81
ggplot2;3.4.1
lattice;0.20-45
survival;3.3-1
Hmisc;5.0-1
ggeffects;1.2.0
car;3.1-2
carData;3.0-5
lmerTest;3.1-3
lme4;1.1-30
Matrix;1.5-1
